transaction_description,category,country,currency,user_id,amount,date
Income,Income,USA,USD,freelancer,4447.96,2022-01-01
eBay #2522,Shopping & Retail,USA,USD,freelancer,180.45,2022-01-01
Kroger Pharmacy,Healthcare & Medical,USA,USD,freelancer,294.94,2022-01-01
CTA - USA,Transportation,USA,USD,freelancer,46.04,2022-01-02
DEA,Government & Legal,USA,USD,freelancer,384.47,2022-01-02
Alamo,Transportation,USA,USD,freelancer,68.22,2022-01-03
Gym Online Shopping Center,Entertainment & Recreation,USA,USD,freelancer,29.46,2022-01-03
MRI #6580 - USA,Healthcare & Medical,USA,USD,freelancer,327.59,2022-01-03
CVS Center,Healthcare & Medical,USA,USD,freelancer,170.17,2022-01-03
H&M Hospital,Shopping & Retail,USA,USD,freelancer,296.1,2022-01-04
Spotify,Entertainment & Recreation,USA,USD,freelancer,6.83,2022-01-05
Cable Company,Utilities & Services,USA,USD,freelancer,198.2,2022-01-06
Urgent Care #7956 Store,Healthcare & Medical,USA,USD,freelancer,154.89,2022-01-07
Frontier #9103 Store,Utilities & Services,USA,USD,freelancer,101.41,2022-01-07
Pizza Hut Store Strip Mall,Food & Dining,USA,USD,freelancer,20.94,2022-01-07
White Castle - USA,Food & Dining,USA,USD,freelancer,14.02,2022-01-07
Marshals,Government & Legal,USA,USD,freelancer,114.79,2022-01-08
Von Maur,Shopping & Retail,USA,USD,freelancer,257.14,2022-01-09
Eye Care #6841 - USA,Healthcare & Medical,USA,USD,freelancer,255.67,2022-01-10
Santander Online,Financial Services,USA,USD,freelancer,279.93,2022-01-10
Saks Off 5th,Shopping & Retail,USA,USD,freelancer,254.47,2022-01-10
Regal #9719 - USA Store,Entertainment & Recreation,USA,USD,freelancer,145.48,2022-01-11
Firehouse Subs #9883,Food & Dining,USA,USD,freelancer,22.17,2022-01-11
Visa - USA,Government & Legal,USA,USD,freelancer,327.96,2022-01-11
Adobe Creative Cloud,Shopping & Retail,USA,USD,freelancer,31.07,2022-01-11
CVS,Shopping & Retail,USA,USD,freelancer,54.15,2022-01-12
Investment #3840,Financial Services,USA,USD,freelancer,786.95,2022-01-12
7-Eleven Store Online - Dinner Time,Transportation,USA,USD,freelancer,13.56,2022-01-12
Firehouse Subs - USA,Food & Dining,USA,USD,freelancer,23.83,2022-01-13
Hulu,Entertainment & Recreation,USA,USD,freelancer,147.46,2022-01-13
Mr. Sub,Food & Dining,USA,USD,freelancer,37.62,2022-01-13
Megabus #4226 - Rush Hour,Transportation,USA,USD,freelancer,54.63,2022-01-14
Tax,Government & Legal,USA,USD,freelancer,89.45,2022-01-15
ASPCA - USA Store,Charity & Donations,USA,USD,freelancer,185.71,2022-01-15
NGO #1838,Charity & Donations,USA,USD,freelancer,158.34,2022-01-16
Train - USA,Transportation,USA,USD,freelancer,94.04,2022-01-16
Banking,Financial Services,USA,USD,freelancer,600.86,2022-01-16
Dollar General - USA,Shopping & Retail,USA,USD,freelancer,255.67,2022-01-17
Post Office Online,Shopping & Retail,USA,USD,freelancer,296.01,2022-01-17
Investment Bank Store Online,Financial Services,USA,USD,freelancer,79.97,2022-01-17
Lord & Taylor #8166 - USA,Shopping & Retail,USA,USD,freelancer,33.87,2022-01-17
CVS Store,Shopping & Retail,USA,USD,freelancer,182.87,2022-01-17
GoFundMe - USA,Charity & Donations,USA,USD,freelancer,80.97,2022-01-18
Occupational Therapy #2640 Branch Shopping Center,Healthcare & Medical,USA,USD,freelancer,163.18,2022-01-21
Gas Company - USA,Utilities & Services,USA,USD,freelancer,72.06,2022-01-22
Dropbox,Utilities & Services,USA,USD,freelancer,12.86,2022-01-22
Walgreens #7216 Strip Mall,Healthcare & Medical,USA,USD,freelancer,453.88,2022-01-23
Xfinity #4941 TXN594206,Utilities & Services,USA,USD,freelancer,285.17,2022-01-23
Jimmy John's (Mobile),Food & Dining,USA,USD,freelancer,7.6,2022-01-24
KFC #3919,Food & Dining,USA,USD,freelancer,14.44,2022-01-24
Financial Advisor #9889 Online,Financial Services,USA,USD,freelancer,592.2,2022-01-26
Trampoline Park Online,Entertainment & Recreation,USA,USD,freelancer,74.51,2022-01-26
Potbelly #2394 Online - Afternoon,Food & Dining,USA,USD,freelancer,43.66,2022-01-26
Mutual Fund Store Online Branch - Night,Financial Services,USA,USD,freelancer,952.89,2022-01-27
Costco Store Online Branch,Shopping & Retail,USA,USD,freelancer,80.15,2022-01-28
